RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0186900,LOC_Os01g09220,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0186900,PCMDB
Os01g0187400,LOC_Os01g09246,"leaf epidermis,leaf mesophyll",Leaf,Os01g0187400,PCMDB
Os01g0187500,LOC_Os01g09252,"leaf mesophyll,leaf procambium",Leaf,OsWD40-7,PCMDB
Os01g0187900,LOC_Os01g09280,leaf procambium,Leaf,Os01g0187900,PCMDB
Os01g0188100,LOC_Os01g09300,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0188100,PCMDB
Os01g0190000,LOC_Os01g09430,leaf mesophyll,Leaf,Os01g0190000,PCMDB
Os01g0191100,LOC_Os01g09510,"leaf epidermis,leaf mesophyll",Leaf,Os01g0191100,PCMDB
Os01g0191200,LOC_Os01g09540,"leaf mesophyll,Mesophyll precursor",Leaf,Os01g0191200,PCMDB
Os01g0191300,LOC_Os01g09550,mestome sheath,Leaf,ONAC003,PCMDB
Os01g0191500,LOC_Os01g09560,"leaf epidermis,leaf mesophyll",Leaf,Os01g0191500,PCMDB
Os01g0191700,LOC_Os01g09570,"leaf mesophyll,leaf procambium",Leaf,OsPFK01,PCMDB
Os01g0192000,LOC_Os01g09620,"leaf epidermis,mestome sheath",Leaf,DOS,PCMDB
Os01g0192300,LOC_Os01g09640,leaf mesophyll,Leaf,OsMYB1R1,PCMDB
Os01g0192600,LOC_Os01g09670,"leaf epidermis,mestome sheath",Leaf,SF21,PCMDB
Os01g0194000,LOC_Os01g09770,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0194000,PCMDB
Os01g0194600,LOC_Os01g09830,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsGRX2,PCMDB
Os01g0195400,LOC_Os01g09880,"leaf mesophyll,mestome sheath,Xylem",Leaf,Os01g0195400,PCMDB
Os01g0196300,LOC_Os01g09990,leaf procambium,Leaf,DPF,PCMDB
Os01g0196500,LOC_Os01g10010,mestome sheath,Leaf,Os01g0196500,PCMDB
Os01g0196600,LOC_Os01g10020,leaf mesophyll,Leaf,Os01g0196600,PCMDB
Os01g0198500,LOC_Os01g10180,leaf mesophyll,Leaf,B1046G12.22,PCMDB
Os01g0198900,LOC_Os01g10210,leaf epidermis,Leaf,B1046G12.28,PCMDB
Os01g0199400,LOC_Os01g10250,mestome sheath,Leaf,B1046G12.33-1,PCMDB
Os01g0200400,LOC_Os01g10340,"leaf epidermis,mestome sheath",Leaf,Os01g0200400,PCMDB
Os01g0200700,LOC_Os01g10400,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsMT3a,PCMDB
Os01g0201100,LOC_Os01g10440,mestome sheath,Leaf,Os01g0201100,PCMDB
Os01g0201600,LOC_Os01g10490,leaf epidermis,Leaf,Os01g0201600,PCMDB
Os01g0202500,LOC_Os01g10580,"leaf mesophyll,mestome sheath",Leaf,OsBBX1,PCMDB
Os01g0203000,LOC_Os01g10610,leaf mesophyll,Leaf,BZR2,PCMDB
Os01g0203400,LOC_Os01g10640,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsCEP7,PCMDB
Os01g0205500,LOC_Os01g10820,"leaf epidermis,leaf mesophyll",Leaf,Os01g0205500,PCMDB
Os01g0205600,LOC_Os01g10830,mestome sheath,Leaf,Os01g0205600,PCMDB
Os01g0205700,LOC_Os01g10840,"leaf mesophyll,leaf procambium",Leaf,GSK1,PCMDB
Os01g0205900,LOC_Os01g10850,"leaf mesophyll,Mesophyll precursor",Leaf,prx2,PCMDB
Os01g0207400,LOC_Os01g10950,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0207400,PCMDB
Os01g0209800,LOC_Os01g11160,"leaf mesophyll,leaf procambium",Leaf,OsCAT1,PCMDB
Os01g0210500,LOC_Os01g11230,leaf procambium,Leaf,Os01g0210500,PCMDB
Os01g0210600,LOC_Os01g11240,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0210600,PCMDB
Os01g0210700,LOC_Os01g11250,leaf guard cell,Leaf,KAT2,PCMDB
Os01g0211600,LOC_Os01g11340,"leaf epidermis,leaf mesophyll",Leaf,Os01g0211600,PCMDB
Os01g0212400,LOC_Os01g11414,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsEFCAX1,PCMDB
Os01g0212700,LOC_Os01g11460,"leaf epidermis,leaf mesophyll",Leaf,Os01g0212700,PCMDB
Os01g0213400,LOC_Os01g11520,leaf mesophyll,Leaf,OsRFPH2-8,PCMDB
Os01g0214200,LOC_Os01g11570,leaf mesophyll,Leaf,OsGELP1,PCMDB
Os01g0214400,LOC_Os01g11590,leaf mesophyll,Leaf,Os01g0214400,PCMDB
Os01g0214500,LOC_Os01g11600,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0214500,PCMDB
Os01g0218032,LOC_Os01g11900,"leaf mesophyll,mestome sheath",Leaf,ROS1A,PCMDB
Os01g0219300,LOC_Os01g12000,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0219300,PCMDB
Os01g0220400,LOC_Os01g12100,"leaf mesophyll,mestome sheath",Leaf,Os01g0220400,PCMDB
Os01g0221100,LOC_Os01g12160,mestome sheath,Leaf,OsJAR2,PCMDB
Os01g0221400,LOC_Os01g12190,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0221400,PCMDB
Os01g0221500,LOC_Os01g12200,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0221500,PCMDB
Os01g0221600,LOC_Os01g12210,flag leaf,Leaf,OsALMT4,PCMDB
Os01g0222600,LOC_Os01g12270,"leaf mesophyll,leaf procambium",Leaf,Os01g0222600,PCMDB
Os01g0223000,LOC_Os01g12304,leaf procambium,Leaf,Os01g0223000,PCMDB
Os01g0224100,LOC_Os01g12440,leaf mesophyll,Leaf,OsERF#053,PCMDB
Os01g0224200,LOC_Os01g12460,leaf mesophyll,Leaf,Os01g0224200,PCMDB
Os01g0224300,LOC_Os01g12464,"leaf epidermis,mestome sheath,leaf procambium",Leaf,Os01g0224300,PCMDB
Os01g0225100,LOC_Os01g12530,"leaf mesophyll,leaf procambium",Leaf,Os01g0225100,PCMDB
Os01g0225600,LOC_Os01g12580,leaf mesophyll,Leaf,Lea14A,PCMDB
Os01g0226300,LOC_Os01g12650,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Xylem",Leaf,Os01g0226300,PCMDB
Os01g0226500,LOC_Os01g12670,leaf epidermis,Leaf,P0492F05.33-1,PCMDB
Os01g0226700,LOC_Os01g12690,leaf mesophyll,Leaf,OsOFP1,PCMDB
Os01g0227300,LOC_Os01g12730,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsRab7B1,PCMDB
Os01g0227500,LOC_Os01g12750,"mestome sheath,leaf procambium",Leaf,Os01g0227500,PCMDB
Os01g0228300,LOC_Os01g12800,leaf mesophyll,Leaf,Os01g0228300,PCMDB
Os01g0228400,LOC_Os01g12810,leaf mesophyll,Leaf,Os01g0228400,PCMDB
Os01g0228500,LOC_Os01g12820,leaf mesophyll,Leaf,Os01g0228500,PCMDB
Os01g0228600,LOC_Os01g12830,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsHPR2-1,PCMDB
Os01g0229200,LOC_Os01g12880,leaf procambium,Leaf,Os01g0229200,PCMDB
Os01g0231000,LOC_Os01g13030,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsIAA3,PCMDB
Os01g0231500,LOC_Os01g13060,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0431F01.19-1,PCMDB
Os01g0232400,LOC_Os01g13160,leaf mesophyll,Leaf,Os01g0232400,PCMDB
